,L,OS,S,O,MB,Years played,Height,M,F,Weight,Muscle,Jumping,Endurance,catch serve,catch strong attack,catch short trick,Underhand,Overhand,Block,Attack path,Attack height,boa ball,Spike,Handle,Serve,Set,Psychological quality,Leadership,Discipline,Perseverance,Willingness
0,0.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.9685863874345549,1.0,0.0,0.797979797979798,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.4444444444444444
1,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.9581151832460733,1.0,0.0,0.6464646464646465,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.3333333333333333
2,1.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.8952879581151832,1.0,0.0,0.6262626262626263,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.4444444444444444
3,0.0,0.0,1.0,0.0,0.0,0.18181818181818182,0.900523560209424,1.0,0.0,0.5959595959595959,0.6666666666666666,0.5555555555555556,0.8888888888888888,1.0,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7777777777777778,1.0,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.0
4,0.0,0.0,1.0,0.0,0.0,0.045454545454545456,0.93717277486911,1.0,0.0,0.6464646464646465,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.7777777777777778
5,0.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.9267015706806283,1.0,0.0,0.696969696969697,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
6,0.0,1.0,0.0,0.0,0.0,0.18181818181818182,0.8952879581151832,1.0,0.0,0.6464646464646465,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.4444444444444444
7,0.0,0.0,1.0,0.0,0.0,0.13636363636363635,0.8324607329842932,0.0,1.0,0.494949494949495,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0
8,0.0,1.0,0.0,0.0,0.0,0.045454545454545456,0.9057591623036649,1.0,0.0,0.8484848484848485,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.2222222222222222
9,0.0,1.0,0.0,0.0,0.0,0.18181818181818182,0.8324607329842932,0.0,1.0,0.48484848484848486,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.8888888888888888,0.7777777777777778,1.0,1.0,0.8888888888888888
